key,keydown_time,keyup_time
right,2021-04-11 13:50:27.376393+00:00,2021-04-11 13:50:27.482193+00:00
backspace,2021-04-11 13:50:27.689378+00:00,2021-04-11 13:50:27.773499+00:00
shift,2021-04-11 13:50:28.100324+00:00,2021-04-11 13:50:28.316734+00:00
k,2021-04-11 13:51:04.673452+00:00,2021-04-11 13:51:04.801426+00:00
e,2021-04-11 13:51:04.861110+00:00,2021-04-11 13:51:04.986850+00:00
y,2021-04-11 13:51:05.008897+00:00,2021-04-11 13:51:05.093605+00:00
l,2021-04-11 13:51:05.670613+00:00,2021-04-11 13:51:05.754079+00:00
o,2021-04-11 13:51:05.850185+00:00,2021-04-11 13:51:05.956430+00:00
g,2021-04-11 13:51:06.387627+00:00,2021-04-11 13:51:06.452345+00:00
g,2021-04-11 13:51:06.519621+00:00,2021-04-11 13:51:06.603998+00:00
e,2021-04-11 13:51:06.625654+00:00,2021-04-11 13:51:06.801475+00:00
r,2021-04-11 13:51:06.711465+00:00,2021-04-11 13:51:06.823054+00:00
backspace,2021-04-11 13:51:07.244745+00:00,2021-04-11 13:51:07.567711+00:00
r,2021-04-11 13:51:08.099149+00:00,2021-04-11 13:51:08.184837+00:00
space,2021-04-11 13:51:08.406053+00:00,2021-04-11 13:51:08.533928+00:00
a,2021-04-11 13:51:10.611908+00:00,2021-04-11 13:51:10.742294+00:00
backspace,2021-04-11 13:51:11.866143+00:00,2021-04-11 13:51:11.949985+00:00
d,2021-04-11 13:51:12.361709+00:00,2021-04-11 13:51:12.467190+00:00
e,2021-04-11 13:51:12.446248+00:00,2021-04-11 13:51:12.550769+00:00
s,2021-04-11 13:51:12.652412+00:00,2021-04-11 13:51:12.781516+00:00
k,2021-04-11 13:51:12.782347+00:00,2021-04-11 13:51:12.911882+00:00
t,2021-04-11 13:51:13.087549+00:00,2021-04-11 13:51:13.219258+00:00
o,2021-04-11 13:51:13.329940+00:00,2021-04-11 13:51:13.436596+00:00
p,2021-04-11 13:51:13.482790+00:00,2021-04-11 13:51:13.590043+00:00
space,2021-04-11 13:51:13.757760+00:00,2021-04-11 13:51:13.863783+00:00
a,2021-04-11 13:51:13.917387+00:00,2021-04-11 13:51:14.044779+00:00
p,2021-04-11 13:51:14.180959+00:00,2021-04-11 13:51:14.267926+00:00
p,2021-04-11 13:51:14.313923+00:00,2021-04-11 13:51:14.378435+00:00
space,2021-04-11 13:51:14.531987+00:00,2021-04-11 13:51:14.640014+00:00
f,2021-04-11 13:51:14.694000+00:00,2021-04-11 13:51:14.801402+00:00
o,2021-04-11 13:51:14.830415+00:00,2021-04-11 13:51:14.943759+00:00
r,2021-04-11 13:51:14.920220+00:00,2021-04-11 13:51:15.049773+00:00
space,2021-04-11 13:51:15.152650+00:00,2021-04-11 13:51:15.220320+00:00
l,2021-04-11 13:51:15.422625+00:00,2021-04-11 13:51:15.488260+00:00
i,2021-04-11 13:51:15.693119+00:00,2021-04-11 13:51:15.781087+00:00
n,2021-04-11 13:51:15.916968+00:00,2021-04-11 13:51:16.001298+00:00
u,2021-04-11 13:51:16.120443+00:00,2021-04-11 13:51:16.207460+00:00
x,2021-04-11 13:51:16.261057+00:00,2021-04-11 13:51:16.350401+00:00
space,2021-04-11 13:51:16.419140+00:00,2021-04-11 13:51:16.525961+00:00
a,2021-04-11 13:51:16.594561+00:00,2021-04-11 13:51:16.681557+00:00
n,2021-04-11 13:51:16.701808+00:00,2021-04-11 13:51:16.785514+00:00
d,2021-04-11 13:51:16.805820+00:00,2021-04-11 13:51:16.870067+00:00
space,2021-04-11 13:51:16.892055+00:00,2021-04-11 13:51:17.000076+00:00
w,2021-04-11 13:51:17.898132+00:00,2021-04-11 13:51:17.941834+00:00
i,2021-04-11 13:51:17.976869+00:00,2021-04-11 13:51:18.061906+00:00
n,2021-04-11 13:51:18.591875+00:00,2021-04-11 13:51:18.700661+00:00
d,2021-04-11 13:51:18.720489+00:00,2021-04-11 13:51:18.807862+00:00
w,2021-04-11 13:51:18.949579+00:00,2021-04-11 13:51:19.098032+00:00
s,2021-04-11 13:51:19.151767+00:00,2021-04-11 13:51:19.285037+00:00
backspace,2021-04-11 13:51:19.746827+00:00,2021-04-11 13:51:19.831263+00:00
backspace,2021-04-11 13:51:19.917458+00:00,2021-04-11 13:51:19.982425+00:00
o,2021-04-11 13:51:20.128121+00:00,2021-04-11 13:51:20.234062+00:00
s,2021-04-11 13:51:20.264048+00:00,2021-04-11 13:51:20.391575+00:00
backspace,2021-04-11 13:51:21.084136+00:00,2021-04-11 13:51:21.190832+00:00
w,2021-04-11 13:51:21.191782+00:00,2021-04-11 13:51:21.297898+00:00
s,2021-04-11 13:51:21.321136+00:00,2021-04-11 13:51:21.449908+00:00
space,2021-04-11 13:51:21.589204+00:00,2021-04-11 13:51:21.700181+00:00
left,2021-04-11 13:51:23.034516+00:00,2021-04-11 13:51:24.334377+00:00
right,2021-04-11 13:51:24.956547+00:00,2021-04-11 13:51:25.129757+00:00
left,2021-04-11 13:51:25.600136+00:00,2021-04-11 13:51:26.766129+00:00
right,2021-04-11 13:51:27.666664+00:00,2021-04-11 13:51:29.622952+00:00
left,2021-04-11 13:51:30.083941+00:00,2021-04-11 13:51:32.075375+00:00
right,2021-04-11 13:51:39.317928+00:00,2021-04-11 13:51:40.071337+00:00
left,2021-04-11 13:51:40.840412+00:00,2021-04-11 13:51:40.947071+00:00
backspace,2021-04-11 13:51:41.331675+00:00,2021-04-11 13:51:41.417117+00:00
backspace,2021-04-11 13:51:41.509674+00:00,2021-04-11 13:51:41.571576+00:00
backspace,2021-04-11 13:51:41.651290+00:00,2021-04-11 13:51:41.715326+00:00
g,2021-04-11 13:51:43.319485+00:00,2021-04-11 13:51:43.403155+00:00
i,2021-04-11 13:51:43.424913+00:00,2021-04-11 13:51:43.512867+00:00
n,2021-04-11 13:51:43.591950+00:00,2021-04-11 13:51:43.698077+00:00
g,2021-04-11 13:51:43.720916+00:00,2021-04-11 13:51:43.829877+00:00
k,2021-04-11 13:51:48.348703+00:00,2021-04-11 13:51:48.476378+00:00
e,2021-04-11 13:51:48.515372+00:00,2021-04-11 13:51:48.623800+00:00
y,2021-04-11 13:51:48.661083+00:00,2021-04-11 13:51:48.746321+00:00
l,2021-04-11 13:51:48.951087+00:00,2021-04-11 13:51:49.057131+00:00
o,2021-04-11 13:51:49.163437+00:00,2021-04-11 13:51:49.250347+00:00
g,2021-04-11 13:51:49.503360+00:00,2021-04-11 13:51:49.588812+00:00
g,2021-04-11 13:51:49.642172+00:00,2021-04-11 13:51:49.726893+00:00
i,2021-04-11 13:51:49.849808+00:00,2021-04-11 13:51:49.935862+00:00
n,2021-04-11 13:51:50.038744+00:00,2021-04-11 13:51:50.146170+00:00
g,2021-04-11 13:51:50.147024+00:00,2021-04-11 13:51:50.251222+00:00
enter,2021-04-11 13:51:50.449631+00:00,2021-04-11 13:51:50.513298+00:00
ctrl,2021-04-11 13:51:57.905007+00:00,2021-04-11 13:51:58.207843+00:00
c,2021-04-11 13:51:58.097929+00:00,2021-04-11 13:51:58.209850+00:00
v,2021-04-11 13:52:00.309732+00:00,2021-04-11 13:52:00.416401+00:00
ctrl,2021-04-11 13:52:00.072015+00:00,2021-04-11 13:52:00.438901+00:00
backspace,2021-04-11 13:52:02.080723+00:00,2021-04-11 13:52:02.208133+00:00
K,2021-04-11 13:52:02.525034+00:00,2021-04-11 13:52:02.610983+00:00
shift,2021-04-11 13:52:02.239696+00:00,2021-04-11 13:52:02.634493+00:00
down,2021-04-11 13:52:03.094457+00:00,2021-04-11 13:52:03.767963+00:00
backspace,2021-04-11 13:52:06.461100+00:00,2021-04-11 13:52:06.525787+00:00
left,2021-04-11 13:52:06.793465+00:00,2021-04-11 13:52:07.428344+00:00
backspace,2021-04-11 13:52:08.067214+00:00,2021-04-11 13:52:08.175485+00:00
