key,keydown_time,keyup_time
t,2021-04-11 12:17:54.676584+00:00,2021-04-11 12:17:54.738340+00:00
i,2021-04-11 12:17:54.800949+00:00,2021-04-11 12:17:54.867446+00:00
m,2021-04-11 12:17:54.974963+00:00,2021-04-11 12:17:55.080074+00:00
e,2021-04-11 12:17:55.124753+00:00,2021-04-11 12:17:55.235119+00:00
.,2021-04-11 12:17:55.327694+00:00,2021-04-11 12:17:55.434250+00:00
s,2021-04-11 12:17:55.629440+00:00,2021-04-11 12:17:55.737561+00:00
e,2021-04-11 12:17:56.158147+00:00,2021-04-11 12:17:56.202555+00:00
e,2021-04-11 12:17:56.271617+00:00,2021-04-11 12:17:56.356392+00:00
p,2021-04-11 12:17:56.401255+00:00,2021-04-11 12:17:56.491848+00:00
alt,2021-04-11 12:18:07.255463+00:00,2021-04-11 12:18:07.468167+00:00
tab,2021-04-11 12:18:07.339043+00:00,2021-04-11 12:18:07.470322+00:00
tab,2021-04-11 12:18:08.123347+00:00,2021-04-11 12:18:08.258964+00:00
tab,2021-04-11 12:18:09.357200+00:00,2021-04-11 12:18:09.504883+00:00
tab,2021-04-11 12:18:09.615529+00:00,2021-04-11 12:18:09.745376+00:00
tab,2021-04-11 12:18:09.876907+00:00,2021-04-11 12:18:09.983772+00:00
tab,2021-04-11 12:18:10.112881+00:00,2021-04-11 12:18:10.240328+00:00
alt,2021-04-11 12:18:08.038795+00:00,2021-04-11 12:18:10.620301+00:00
num_lock,2021-04-11 12:18:14.278551+00:00,2021-04-11 12:18:14.393933+00:00
backspace,2021-04-11 12:18:14.761406+00:00,2021-04-11 12:18:14.830072+00:00
backspace,2021-04-11 12:18:14.920277+00:00,2021-04-11 12:18:14.991525+00:00
backspace,2021-04-11 12:18:15.072716+00:00,2021-04-11 12:18:15.140569+00:00
backspace,2021-04-11 12:18:15.223910+00:00,2021-04-11 12:18:15.291303+00:00
s,2021-04-11 12:18:15.909574+00:00,2021-04-11 12:18:16.015010+00:00
l,2021-04-11 12:18:16.046196+00:00,2021-04-11 12:18:16.130557+00:00
e,2021-04-11 12:18:16.186685+00:00,2021-04-11 12:18:16.247699+00:00
e,2021-04-11 12:18:16.343981+00:00,2021-04-11 12:18:16.429855+00:00
p,2021-04-11 12:18:16.561604+00:00,2021-04-11 12:18:16.671536+00:00
enter,2021-04-11 12:18:16.939017+00:00,2021-04-11 12:18:17.045068+00:00
tab,2021-04-11 12:18:28.162535+00:00,2021-04-11 12:18:28.275640+00:00
tab,2021-04-11 12:18:29.278706+00:00,2021-04-11 12:18:29.409093+00:00
